Strain	ST Oxf	ST Pas	K/O typing	City	Collection date	AMK	GEN	IPM	MEM	CRO	CAZ	FEP	MIN	TGC	CST	Accession
Ab36	369	2	KL20, OCL4	Hangzhou	20210302	512	512	64	64	1024	1024	128	2	2	0.125	SAMN36593514
Ab364	208	2	KL2, OCL1	Hangzhou	20211126	512	512	128	128	1024	1024	256	8	2	0.06	SAMN36593515
Ab385	208	2	KL2, OCL1	Hangzhou	20211213	512	512	128	64	1024	512	128	8	1	0.06	SAMN36593516
Ab40	208	2	KL2, OCL18	Hangzhou	20210306	8	16	128	128	1024	128	128	1	0.5	0.25	SAMN36593517
Ab400	195	2	KL3, OCL1	Hangzhou	20211220	512	512	32	64	1024	512	256	4	2	<0.03	SAMN36593518
Ab417	208	2	KL14, OCL1	Hangzhou	20211231	512	512	64	64	1024	512	256	8	2	0.125	SAMN36593519
Ab422	208	2	KL9, OCL1	Hangzhou	20220104	512	512	128	128	1024	512	128	8	2	<0.03	SAMN36593520
Ab43	938	2	KL9, OCL1	Hangzhou	20210309	512	512	128	64	1024	1024	64	4	1	0.125	SAMN36593521
Ab432	136	2	KL9, OCL1	Hangzhou	20220109	8	32	128	64	1024	128	256	2	2	0.125	SAMN36593522
Ab441	369	2	KL3, OCL1	Hangzhou	20220118	512	512	128	128	1024	1024	1024	4	2	0.25	SAMN36593523
Ab475	208	2	KL13, OCL2	Hangzhou	20220224	512	512	128	64	1024	1024	1024	16	2	0.06	SAMN36593524
Ab485	208	2	KL3, OCL1	Hangzhou	20220305	8	16	128	128	1024	128	1024	0.25	2	0.125	SAMN36593525
Ab486	195	2	KL9, OCL1	Hangzhou	20220306	512	512	64	64	1024	512	512	4	2	0.125	SAMN36593526
Ab502	208	2	KL9, OCL1	Hangzhou	20220317	512	512	128	128	1024	256	512	8	2	0.06	SAMN36593527
Ab525	208	2	KL9, OCL1	Hangzhou	20220331	8	16	128	128	1024	128	512	0.5	2	0.125	SAMN36593528
Ab539	208	2	KL2, OCL1	Hangzhou	20220408	256	128	128	128	1024	1024	1024	0.5	2	0.125	SAMN36593529
Ab562	369	2	KL210, OCL1	Hangzhou	20220503	512	512	128	64	1024	1024	1024	2	2	0.125	SAMN36593530
Ab57	208	2	KL7, OCL1	Hangzhou	20210313	8	32	64	64	1024	1024	512	2	2	0.06	SAMN36593531
Ab598	369	2	KL7, OCL1	Hangzhou	20220520	512	512	128	128	1024	1024	512	4	1	0.25	SAMN36593532
Ab620	191	2	KL7, OCL1	Hangzhou	20220601	8	512	128	64	1024	512	512	0.5	2	1	SAMN36593533
Ab639	208	2	KL3, OCL1	Hangzhou	20220616	512	512	128	128	1024	1024	1024	8	2	0.125	SAMN36593534
Ab642	938	2	KL3, OCL1	Hangzhou	20220616	512	512	32	64	1024	1024	1024	4	2	0.25	SAMN36593535
Ab661	208	2	KL2, OCL1	Hangzhou	20220630	512	512	64	64	1024	512	128	0.25	2	0.125	SAMN36593536
Ab69	208	2	KL3, OCL1	Hangzhou	20210323	8	512	32	64	1024	256	128	8	1	0.25	SAMN36593537
Ab707	369	2	KL28, OCL1	Hangzhou	20220726	512	512	64	64	1024	1024	1024	4	1	0.25	SAMN36593538
Ab735	373	40	KL2, OCL1	Hangzhou	20220819	4	4	0.25	2	256	16	256	<0.06	0.25	0.125	SAMN36593539
Ab740	208	2	KL9, OCL1	Hangzhou	20220825	512	512	128	128	1024	512	1024	16	2	0.06	SAMN36593540
Ab763	208	2	KL77, OCL1	Hangzhou	20220910	512	512	128	64	1024	1024	1024	8	2	0.25	SAMN36593541
Ab777	540	2	KL7, OCL1	Hangzhou	20220922	512	512	128	64	1024	512	256	8	2	0.5	SAMN36593542
Ab83	547	2	KL51, OCL1	Hangzhou	20210403	4	8	128	128	1024	1024	512	4	2	0.25	SAMN36593543
Ab96	208	2	KL50, OCL2	Hangzhou	20210420	8	16	128	128	1024	128	512	2	1	0.25	SAMN36593544
HZ-1	-	2	KL2, OCL1	Xi'an	20220220	512	512	128	128	1024	1024	512	8	0.25	0.25	SAMN36593545
HZ-11	208	2	KL2, OCL1	Xi'an	20220303	512	512	32	32	1024	128	64	16	2	0.25	SAMN36593546
HZ-13	208	2	KL51, OCL1	Xi'an	20221010	512	512	16	16	1024	128	32	16	1	0.125	SAMN36593547
HZ-15	208	2	KL2, OCL1	Xi'an	20220407	512	512	8	16	1024	128	32	8	1	0.06	SAMN36593548
HZ-17	-	2	KL2, OCL1	Xi'an	20220316	512	512	32	32	1024	512	128	4	1	0.125	SAMN36593549
HZ-2	540	2	KL7, OCL1	Xi'an	20220219	512	512	64	32	1024	128	512	8	0.5	0.5	SAMN36593550
